frame,North_Straight,North_Left,South_Straight,South_Left,East_Straight,East_Left,West_Straight,West_Left,Center
203,0,4,0,2,9,10,9,6,5
204,0,4,0,2,9,10,9,6,5
205,0,4,0,2,9,10,9,6,5
206,0,4,0,2,9,10,10,6,5
207,0,4,0,2,9,10,10,6,5
208,0,4,0,2,9,10,9,6,5
209,1,4,0,2,9,10,9,6,5
210,1,4,0,2,9,10,9,6,5
211,3,4,0,2,9,10,9,6,5
212,3,4,0,2,9,10,9,6,5
213,3,4,0,2,9,10,9,6,5
214,3,4,0,2,9,10,9,6,5
215,3,4,0,2,9,10,10,6,5
216,3,4,0,2,9,10,10,6,5
217,3,4,0,2,9,10,10,6,5
218,3,4,0,2,9,10,10,6,4
219,3,4,0,2,9,10,10,6,4
220,3,4,0,2,9,10,10,6,4
221,3,4,0,2,9,10,10,6,4
222,3,4,0,2,9,10,10,6,4
223,1,4,0,2,9,10,10,6,3
224,1,4,0,2,9,10,10,6,3
225,1,4,0,2,9,10,10,6,3
226,1,4,0,2,9,10,8,6,2
227,1,4,0,2,9,10,8,6,2
228,0,4,0,2,9,10,9,6,4
229,0,4,0,2,9,10,8,6,4
230,0,4,0,2,9,10,8,6,4
231,0,4,0,2,9,9,8,6,4
232,0,4,0,2,9,9,8,6,4
233,0,4,0,2,9,9,8,6,4
234,1,4,0,2,9,9,8,6,4
235,1,4,0,2,9,9,8,6,4
236,2,4,0,2,9,9,8,6,4
237,2,4,0,2,9,9,8,6,4
238,2,4,0,2,9,9,8,6,5
239,2,4,0,2,9,10,8,6,5
240,2,4,0,2,9,9,8,6,5
241,2,4,0,2,9,9,9,6,5
242,2,4,0,2,9,9,9,6,5
243,2,4,0,2,9,9,9,6,5
244,2,4,0,2,9,9,9,6,5
245,2,4,0,2,9,9,9,6,5
246,2,4,0,2,9,9,9,6,5
247,2,4,0,2,9,9,9,6,5
248,1,4,0,2,9,9,9,6,3
249,2,4,0,2,9,9,9,6,3
250,2,4,0,2,9,9,9,6,3
251,2,4,0,2,9,9,9,6,3
252,2,4,0,2,9,9,9,6,3
253,2,4,0,2,9,9,9,6,4
254,2,4,0,2,9,9,9,6,4
255,2,4,0,2,9,9,9,6,4
256,1,4,0,2,9,9,9,6,4
257,1,4,0,2,9,9,9,6,4
258,1,3,0,2,8,10,9,6,4
259,1,3,0,2,8,10,9,6,4
260,1,3,0,2,8,10,9,6,4
261,1,3,0,2,8,10,11,6,4
262,1,3,0,2,8,10,11,6,4
263,0,3,0,2,8,10,11,6,5
264,0,3,0,2,8,10,11,6,5
265,0,3,0,2,8,10,11,6,5
266,0,3,1,2,8,10,11,6,5
267,0,3,1,2,8,10,11,6,5
268,0,3,1,2,8,10,11,6,6
269,1,3,1,2,8,10,11,6,6
270,1,3,1,2,8,10,11,6,6
271,1,2,1,2,8,10,11,6,6
272,1,2,1,2,8,10,11,6,6
273,1,2,1,2,8,10,11,6,7
